id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
347;Arioli Intimo;Abbigliamento intimo;1955;Via Piacenza;9;5;27;PTA ROMANA;9.203872500000045;45.44915400000008;(45.44915400000008, 9.203872500000045)
348;Biciclette Drali;Ricambi per cicli e motocicli;1925;Via Agilulfo;18;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.17443350000002;45.433215000000075;(45.433215000000075, 9.17443350000002)
349;Brambilla Calzature;Calzature;1936;Via Ripamonti;7/a;5;27;PTA ROMANA;9.197068500000057;45.45028800000006;(45.45028800000006, 9.197068500000057)
350;Calzoleria Palmeri;Calzolaio;1957;Via Neera;22;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.177304500000048;45.43288200000006;(45.43288200000006, 9.177304500000048)
351;Cartoleria Boati Claudio;Cartoleria Libreria;1942;Viale Sabotino;2;5;27;PTA ROMANA;9.197104500000023;45.45080100000007;(45.45080100000007, 9.197104500000023)
352;Castellucchio gomme;Gommista;1946;Via G.C. Passeroni;1;5;27;PTA ROMANA;9.205321500000025;45.44973900000008;(45.44973900000008, 9.205321500000025)
353;Coltellerie Italiane Zoppis;Coltelleria Ferramenta;1945;Viale Sabotino;10;5;27;PTA ROMANA;9.198783000000049;45.45081000000005;(45.45081000000005, 9.198783000000049)
354;Farmacia Minerva;Farmacia;1910;Via Crema;17;5;27;PTA ROMANA;9.202824000000021;45.449100000000044;(45.449100000000044, 9.202824000000021)
355;Farmacia Roma;Farmacia;1932;Via Piacenza;24;5;27;PTA ROMANA;9.205515000000048;45.44922600000007;(45.44922600000007, 9.205515000000048)
356;Farmacia San Gottardo;Farmacia;1886;Via Pavia;1;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.179167500000062;45.447219000000075;(45.447219000000075, 9.179167500000062)
357;Ferramenta casalinghi T. Prato;Ferramenta, casalinghi;1927;Via Bligny;66;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.189025633000028;45.451228505000074;(45.451228505000074, 9.189025633000028)
358;Foto Cine Ottica Brambilla;Ottico;1965;Viale Tibaldi;42;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.182025000000067;45.44381700000008;(45.44381700000008, 9.182025000000067)
359;Ganci argenterie;Argenterie;1926;Via Altaguardia;11;5;27;PTA ROMANA;9.200101500000073;45.449505000000045;(45.449505000000045, 9.200101500000073)
360;Gattullo;Bar Pasticceria;1961;Piazzale di Porta Lodovica;2;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.185841000000039;45.45211500000005;(45.45211500000005, 9.185841000000039)
361;Gioielleria Corsi;Gioielleria Orologeria;1949;Corso Lodi;12;5;27;PTA ROMANA;9.20489850000007;45.450297000000035;(45.450297000000035, 9.20489850000007)
362;Gioielleria Zingaro;Gioielleria, orologeria;1952;Via Ripamonti;3/A;5;27;PTA ROMANA;9.196830000000034;45.45132300000006;(45.45132300000006, 9.196830000000034)
363;Nel tempo ricambi agricoli Bidoja;Officina meccanica;1914;Via Pomponazzi;16;5;43;TIBALDI;9.180936000000031;45.441711000000055;(45.441711000000055, 9.180936000000031)
364;Osteria di Quintosole;Ristorante;1903;Via Quintosole;35;5;39;QUINTOSOLE;9.20447100000007;45.40194000000008;(45.40194000000008, 9.20447100000007)
365;Ottica Aleardi;Ottico;1919;Corso San Gottardo;2;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.179955000000064;45.45177300000006;(45.45177300000006, 9.179955000000064)
366;Panificio Lorenzo Belverato;Panificio;1925;Via Palladio;2;5;27;PTA ROMANA;9.19778400000007;45.448416000000066;(45.448416000000066, 9.19778400000007)
367;Pasini;Legatoria e cartotecnica;1922;V.le Tibaldi;3;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.17722800000007;45.44381700000008;(45.44381700000008, 9.17722800000007)
368;Pasticceria Sommariva;Pasticceria, bar;1919;Via Crema;25;5;27;PTA ROMANA;9.203040000000044;45.44811000000004;(45.44811000000004, 9.203040000000044)
369;Ronchetti Dolciumi;Drogheria, Dolciumi;1956;Viale Tibaldi;48;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.182466000000034;45.44395200000008;(45.44395200000008, 9.182466000000034)
370;Viola;Abbigliamento uomo, donna;1938;Via Trincea delle Frasche;1;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.181138500000031;45.45204300000006;(45.45204300000006, 9.181138500000031)
371;Arzigozzoviglieria di Giorgio Pastore;Oggetti usati;1940;Via Alzaia Naviglio Grande;8;6;44;PORTA TICINESE - CONCHETTA;9.175765500000068;45.45209700000004;(45.45209700000004, 9.175765500000068)
372;Barbiere Tonino;Parrucchiere;1964;Ripa di Porta Ticinese;27;6;44;PORTA TICINESE - CONCHETTA;9.175090500000067;45.45164700000004;(45.45164700000004, 9.175090500000067)
373;Brunelli Latteria;Bar, latteria;1946;Via Enrico Stendhal;39;6;50;PORTA GENOVA;9.158521500000063;45.454311000000075;(45.454311000000075, 9.158521500000063)
374;Cinerarius Ermanno et Liberos;Parrucchiere;1967;Viale Coni Zugna;58;6;44;PORTA TICINESE - CONCHETTA;9.17092800000006;45.455967000000044;(45.455967000000044, 9.17092800000006)
375;Ferramenta Boroni;Ferramenta Casalinghi;1929;Via Giambellino;84;6;49;GIAMBELLINO;9.142933500000026;45.44897400000008;(45.44897400000008, 9.142933500000026)
376;Ferramenta Viganò Pietro;Ferramenta, casalinghi;1927;Via Montevideo;8;6;50;PORTA GENOVA;9.166432500000042;45.45575100000008;(45.45575100000008, 9.166432500000042)
377;Fornace Curti;Produzione artigianale terracotte e maioliche;1890;Via S. Giuseppe Cottolengo;40;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.144895500000075;45.44085600000005;(45.44085600000005, 9.144895500000075)
378;Gioielleria Bellocci e Figlio;Gioielleria, orologeria;1958;Via Tolstoi;40;6;49;GIAMBELLINO;9.150426000000039;45.45243000000005;(45.45243000000005, 9.150426000000039)
379;La Bottega del Ponte di Paolo Vitetta;Mobili arredo, restauro;1920;Via San Cristoforo;1;6;45;MONCUCCO - SAN CRISTOFORO;9.154386000000045;45.44764200000003;(45.44764200000003, 9.154386000000045)
380;Macelleria F.lli Rezzonico;Macelleria;1953;Via Tolstoi;45;6;49;GIAMBELLINO;9.149935500000026;45.45258300000006;(45.45258300000006, 9.149935500000026)
381;Manifattura Fraizzoli & c.;Uniformi, abbigliamento professionale;1923;Via Pogliaghi;5;6;49;GIAMBELLINO;9.143541000000027;45.44755200000003;(45.44755200000003, 9.143541000000027)
382;Martin Luciano e Figli;Produzione sacchi e abbigliamento;1938;Alzaia Naviglio Grande;58;6;44;PORTA TICINESE - CONCHETTA;9.170397000000037;45.45100800000006;(45.45100800000006, 9.170397000000037)
383;Merceria Ragusa;Merceria;1950;Via Giambellino;150;6;49;GIAMBELLINO;9.130558500000063;45.44497800000005;(45.44497800000005, 9.130558500000063)
384;Miranda Luigi;Parrucchiere per uomo;1951;Via Lorenteggio;30;6;52;BANDE NERE;9.146601000000032;45.45338400000003;(45.45338400000003, 9.146601000000032)
385;Occhiali Pelo;Ottico;1930;Via Solari;46;6;50;PORTA GENOVA;9.158580000000029;45.45402300000006;(45.45402300000006, 9.158580000000029)
386;Osteria al Giardinetto;Ristorante, osteria;1949;Via Tortona;19;6;50;PORTA GENOVA;9.166693500000065;45.45293400000003;(45.45293400000003, 9.166693500000065)
387;Ottica Degani;Ottica;1946;Ripa di Porta Ticinese;27;6;44;PORTA TICINESE - CONCHETTA;9.175090500000067;45.45164700000004;(45.45164700000004, 9.175090500000067)
388;Pagliarini ottica;Ottico;1957;Via Montegani;10;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.177988500000026;45.436401000000046;(45.436401000000046, 9.177988500000026)
389;Pane da tre generazioni;Panificio;1950;Via Tolstoi;45;6;49;GIAMBELLINO;9.149935500000026;45.45258300000006;(45.45258300000006, 9.149935500000026)
390;Pasticceria Castelnuovo;Pasticceria artigianale, bar;1956;Via Tulipani;18;6;49;GIAMBELLINO;9.13761450000004;45.44996400000008;(45.44996400000008, 9.13761450000004)
391;Pasticceria Giuseppe Martignetti;Pasticceria;1950;Via delle Primule;1;6;52;BANDE NERE;9.138748500000077;45.45087300000006;(45.45087300000006, 9.138748500000077)
392;Pasticceria Grecchi;Pasticceria;1960;Via Mussi;16;8;69;SARPI;9.16648200000003;45.482301000000064;(45.482301000000064, 9.16648200000003)
393;Salumeria Rosticceria Fratelli Mai;Salumeria;1943;Via Savona;23;6;50;PORTA GENOVA;9.166986000000065;45.45499500000005;(45.45499500000005, 9.166986000000065)
394;Sanguinetti Francobolli;Filatelia;1906;Via Solari;3;6;50;PORTA GENOVA;9.168228000000056;45.45681300000007;(45.45681300000007, 9.168228000000056)
395;Accessorauto Canosi;Accessori per auto;1962;Via Ricciarelli;43;7;57;SAN SIRO;9.137745000000052;45.46889100000004;(45.46889100000004, 9.137745000000052)
396;Argenterie italiane di Cattaneo;Argenteria;1919;Via V. Colonna;54;7;58;DE ANGELI - MONTE ROSA;9.148113000000023;45.46703700000006;(45.46703700000006, 9.148113000000023)
397;Arredamenti 2 emme;Mobili e complementi d'arredo;1940;Piazzale Selinunte;6;7;57;SAN SIRO;9.138235500000064;45.472293000000036;(45.472293000000036, 9.138235500000064)
398;Bonagurio Parrucchieri;Parrucchiere per signora;1962;Via Alberico Gentili;1;7;51;PORTA MAGENTA;9.15180300000003;45.463347000000056;(45.463347000000056, 9.15180300000003)
399;Bulloni Walter;Bar, caffetteria;1933;Via Lipari;2;7;51;PORTA MAGENTA;9.162387000000024;45.461520000000064;(45.461520000000064, 9.162387000000024)
400;Buzzo Gioielli;Gioielleria Orologeria;1961;Via F. Cherubini;3;7;68;PAGANO;9.159147000000075;45.46708200000006;(45.46708200000006, 9.159147000000075)
401;Calzature Pilon;Calzature donna;1934;Via S. Michele del Carso;6;7;51;PORTA MAGENTA;9.164385000000038;45.46510200000006;(45.46510200000006, 9.164385000000038)
402;Cartoleria Prandelli;Cartoleria;1950;Via Parmigianino;11;7;51;PORTA MAGENTA;9.147582000000057;45.46670400000005;(45.46670400000005, 9.147582000000057)
403;Casalinghi Mambriani;Casalinghi;1920;Via Belfiore;14;7;68;PAGANO;9.157819500000073;45.46758600000004;(45.46758600000004, 9.157819500000073)
404;Cavanna gioielleria;Gioielleria;1956;Via Dolci;26;7;57;SAN SIRO;9.14206050000007;45.473175000000026;(45.473175000000026, 9.14206050000007)
405;Colombo Gioiellieri;Gioielleria, Argenteria e Orologeria;1960;Corso Vercelli;29;7;51;PORTA MAGENTA;9.160888500000056;45.46634400000005;(45.46634400000005, 9.160888500000056)
406;De Molfetta;Camiceria, abbigliamento;1938;L.go Settimio Severo;1;7;51;PORTA MAGENTA;9.162441000000058;45.46611000000007;(45.46611000000007, 9.162441000000058)
407;Ferramenta al Murunasc;Ferramenta Casalinghi;1921;Via A. M. Ceriani;26;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.08889750000003;45.46224900000004;(45.46224900000004, 9.08889750000003)
408;Fiorista Carlo Palma;Fiorista;1948;Via Alberto da Giussano;1;7;68;PAGANO;9.164781000000062;45.46725300000003;(45.46725300000003, 9.164781000000062)
409;Gemelli;Abbigliamento, accessori;1927;C.so Vercelli;16;7;68;PAGANO;9.162162000000023;45.46647900000005;(45.46647900000005, 9.162162000000023)
410;Gioielleria Tiberio Mihail;Orologeria, oreficeria;1957;Via Washington;72;7;51;PORTA MAGENTA;9.154552500000023;45.45965700000005;(45.45965700000005, 9.154552500000023)
411;Lidia di Rosangela Bistolfi;Abbigliamento;1955;Via Sanzio Raffaello;29;7;58;DE ANGELI - MONTE ROSA;9.15137100000004;45.46751400000005;(45.46751400000005, 9.15137100000004)
412;Mobilificio Albertinelli;Mobilificio;1961;Via Albertinelli;2;7;57;SAN SIRO;9.139954500000044;45.47465100000005;(45.47465100000005, 9.139954500000044)
413;Panificio Bollani;Panificio;1930;Largo Settimio Severo;1;7;51;PORTA MAGENTA;9.162441000000058;45.46611000000007;(45.46611000000007, 9.162441000000058)
414;Panificio Bollani;Panificio;1930;P.le Baracca;10;1;7;MAGENTA - S. VITTORE;9.165210330000036;45.46601721900004;(45.46601721900004, 9.165210330000036)
415;Panificio Carminati Pane e Dolci;Panetteria Pasticceria;1962;Via Digione;9;7;51;PORTA MAGENTA;9.155223000000035;45.46040400000004;(45.46040400000004, 9.155223000000035)
416;Pasticceria Moriondo;Pasticceria;1909;Via Marghera;10;7;58;DE ANGELI - MONTE ROSA;9.154174500000067;45.46756800000003;(45.46756800000003, 9.154174500000067)
417;Punto Moda di Soricaro Gaetano;Parrucchiere per signora;1955;Via Domenichino;2;7;58;DE ANGELI - MONTE ROSA;9.15003900000005;45.47392200000007;(45.47392200000007, 9.15003900000005)
418;Seraphini;Panificio, pasticceria;1958;Via F. Faruffini;3;7;58;DE ANGELI - MONTE ROSA;9.149544000000049;45.46699200000006;(45.46699200000006, 9.149544000000049)
419;Sintolvox;Radio, TV, elettrodomestici;1954;Via Asti;12;7;51;PORTA MAGENTA;9.152941500000054;45.46647900000005;(45.46647900000005, 9.152941500000054)
420;Acconciature Benatti;Parrucchiere;1962;Via Giuseppe Mussi;9;8;69;SARPI;9.166230000000041;45.48241800000005;(45.48241800000005, 9.166230000000041)
421;Alessandro Doldi;Abbigliamento;1960;Via Canonica Luigi;81;8;69;SARPI;9.170176500000025;45.48077100000006;(45.48077100000006, 9.170176500000025)
422;Berni Pane Pasticceria Bar;Panificio, bar, tavola calda;1956;Via P. Lomazzo;6;8;69;SARPI;9.173074500000041;45.48125700000003;(45.48125700000003, 9.173074500000041)
423;Cantine Isola;Enoteca con mescita;1937;Via Arnolfo di Cambio;1/a;8;69;SARPI;9.17641800000007;45.48163500000004;(45.48163500000004, 9.17641800000007)
424;Carlo Bardelli;Abbigliamento;1933;Via Sarpi Paolo;60;8;69;SARPI;9.170923500000072;45.48105900000007;(45.48105900000007, 9.170923500000072)
425;Cartografica Lombarda di Scotti A. & C.;Cartolibreria;1946;Via Canonica;72;8;69;SARPI;9.171252000000038;45.48045600000006;(45.48045600000006, 9.171252000000038)
426;Cartoleria Colombo;Cartoleria;1953;Via Canonica;89;8;69;SARPI;9.169092000000035;45.48126600000006;(45.48126600000006, 9.169092000000035)
427;Concessionaria Francone;Concessionaria motoveicoli;1956;Piazza A. Gramsci;12;8;69;SARPI;9.16842282600004;45.48180614800003;(45.48180614800003, 9.16842282600004)
428;DueBi Srl Tappezziere in Stoffe e Tende;Tappezziere;1957;Via Sebastiano Veniero;40;8;58;DE ANGELI - MONTE ROSA;9.144472500000063;45.48105000000004;(45.48105000000004, 9.144472500000063)
429;Erboristeria Novetti;Erboristeria;1952;Via Sarpi Paolo;63;8;69;SARPI;9.170752500000049;45.48091500000004;(45.48091500000004, 9.170752500000049)
430;F.lli Galbiati srl;Arredamento, mobili;1951;V.le Certosa;21;8;67;PORTELLO;9.152703000000031;45.48931200000004;(45.48931200000004, 9.152703000000031)
431;La Boutique del Pneumatico;Vendita e assistenza pneumatici;1958;Viale Certosa;20/22;8;70;GHISOLFA;9.152739000000054;45.48974400000003;(45.48974400000003, 9.152739000000054)
432;Lorenzi di Ilde e Lucia;Profumeria;1908;Via Sarpi Paolo;62;8;69;SARPI;9.170554500000037;45.48103200000003;(45.48103200000003, 9.170554500000037)
433;L'Ortolano di Paolo Sarpi;Frutta e verdura;1934;Via Messina;1;8;69;SARPI;9.175711500000034;45.48159000000004;(45.48159000000004, 9.175711500000034)
434;Maglieria Pisati;Abbigliamento;1928;Via Canonica;87;8;69;SARPI;9.169254000000024;45.48118500000004;(45.48118500000004, 9.169254000000024)
435;Marco Rognetta Maestro Parrucchiere;Parrucchiere per uomo;1937;Via Sarpi Paolo;63;8;69;SARPI;9.170752500000049;45.48091500000004;(45.48091500000004, 9.170752500000049)
436;Merceria Grassi P. di Pedrini;Merceria;1945;Via Poliziano;7;8;69;SARPI;9.164434500000027;45.48330900000008;(45.48330900000008, 9.164434500000027)
437;Molinelli Combustibili;Vendita Combustibili;1943;Viale Espinasse;33;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.143154000000038;45.49571100000003;(45.49571100000003, 9.143154000000038)
438;Orologeria Rossi;Orologeria, oreficeria;1936;Via Sarpi Paolo;62;8;69;SARPI;9.170554500000037;45.48103200000003;(45.48103200000003, 9.170554500000037)
439;Ottica DMZ;Ottico;1964;Via Piero della Francesca;51;8;69;SARPI;9.161113500000056;45.485532000000035;(45.485532000000035, 9.161113500000056)
440;Ottica Scaccabarozzi;Ottico;1927;Via Sarpi Paolo;63;8;69;SARPI;9.170752500000049;45.48091500000004;(45.48091500000004, 9.170752500000049)
441;Paladini Abbigliamento;Abbigliamento;1965;Via Michelino da Besozzo;10;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.150318000000027;45.49387500000006;(45.49387500000006, 9.150318000000027)
442;Parrucchiere Ferraro Giuseppe;Barbiere;1955;Via Grosotto;1;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.147739500000057;45.491445000000056;(45.491445000000056, 9.147739500000057)
443;Pizzeria da Giuliano;Pizzeria;1923;Via Sarpi Frà Paolo;60;8;69;SARPI;9.170923500000072;45.48105900000007;(45.48105900000007, 9.170923500000072)
444;Ristorante Chatulle;Ristorante;1930;Via Piero della Francesca;68;8;69;SARPI;9.160110000000032;45.48633300000006;(45.48633300000006, 9.160110000000032)
445;Ristorante la Pobbia;Ristorante;1850;Via Gallarate;92;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.134626500000024;45.49616100000003;(45.49616100000003, 9.134626500000024)
446;Torrefazione Moka Hodeidah;Torrefazione e rivendita;1946;Via Piero della Francesca;8;8;69;SARPI;9.167080500000054;45.48235500000004;(45.48235500000004, 9.167080500000054)
447;Arredamenti alla Villa Litta;Arredamenti;1964;Viale Affori;19;9;80;AFFORI;9.169060500000057;45.516834000000074;(45.516834000000074, 9.169060500000057)
448;Baby Stella;Abbigliamento per bambini;1962;Piazzale Lagosta;10;9;11;ISOLA;9.191817000000071;45.489276000000075;(45.489276000000075, 9.191817000000071)
449;Calzature Beretta;Calzature;1927;Via L. Ornato;45;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19182150000006;45.51826500000004;(45.51826500000004, 9.19182150000006)
450;Conrad Bartoli;Apparecchi pneumatici;1920;Via Carlo Farini;55;9;11;ISOLA;9.184158000000025;45.49218300000007;(45.49218300000007, 9.184158000000025)
451;De Giovanni Argenteria;Argenteria;1956;V.le Lancetti;34;9;78;FARINI;9.175032000000044;45.49529700000005;(45.49529700000005, 9.175032000000044)
452;Fiorista Gallo;Fiorista;1928;Via M. Novaro;1;9;80;AFFORI;9.169803000000059;45.51926400000008;(45.51926400000008, 9.169803000000059)
453;Laboratorio di Orologeria Rizzi Eligio;Vendita e Riparazione Orologi;1964;Via Baveno;2;9;80;AFFORI;9.176805000000058;45.50972400000006;(45.50972400000006, 9.176805000000058)
454;Ottica Artioli;Ottica;1953;P.zza XXV Aprile;12;9;9;PORTA GARIBALDI - PORTA NUOVA;9.187546500000053;45.48097800000005;(45.48097800000005, 9.187546500000053)
455;Panificio Cella Antonio;Panificio;1925;Via Paulucci de Calboli;3;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19215900000006;45.51570900000007;(45.51570900000007, 9.19215900000006)
456;Pola tabacchi;Tabaccheria;1938;Via Pola;19;9;11;ISOLA;9.192712500000027;45.489051000000075;(45.489051000000075, 9.192712500000027)
457;Premiata Trattoria Arlati;Trattoria;1936;Via A. Nota;47;9;15;BICOCCA;9.20862900000003;45.517986000000064;(45.517986000000064, 9.20862900000003)
458;Ristorante al Tronco;Ristorante;1954;Via Thaon di Revel Genova;10;9;11;ISOLA;9.188878500000044;45.492147000000045;(45.492147000000045, 9.188878500000044)
459;Ristorante La Villetta;Ristorante;1936;V.le Zara;87;9;12;MACIACHINI - MAGGIOLINA;9.194742000000076;45.49680900000004;(45.49680900000004, 9.194742000000076)
460;Trattoria Toscana da Aldo;Trattoria;1950;V.le Sarca;187;9;15;BICOCCA;9.20889900000003;45.51634800000005;(45.51634800000005, 9.20889900000003)
